id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
water_47,"[-11.696139915112719, 7.1805695044085365]",2022-02-01,0.2994477956110113,water,0.19316287793577078,-0.49003445036833915,0.8763602062398808
water_48,"[-11.516476858288623, 7.180569504403723]",2022-02-01,0.2419684775853207,water,0.2121320403744222,-0.4710652879296877,0.8953293686785322
water_49,"[-11.705123067960347, 7.17158635157053]",2022-02-01,0.3018750659331392,water,0.18579323080561316,-0.4974040974984968,0.8689905591097231
water_50,"[-11.696139915113449, 7.162603198724094]",2022-02-01,0.3119403561531676,water,0.1926344762676484,-0.49056285203646155,0.8758318045717584
water_51,"[-11.830887207734873, 7.153620045877145]",2022-02-01,0.2736887545667101,water,0.20886997864849835,-0.47432734965561163,0.8920673069526083
water_52,"[-11.759021984998498, 7.126670587344687]",2022-02-01,0.2838711699587193,water,0.1936305569074828,-0.4895667713966272,0.8768278852115927
water_53,"[-11.54342631682305, 7.009889600421488]",2022-02-01,0.2790122500299008,water,0.21485385467116552,-0.46834347363294443,0.8980511829752755
water_0,"[-12.666320421819876, 9.004149531159928]",2022-03-01,0.217813431492446,water,0.20463030766564327,-0.4785670206384667,0.8878276359697532
water_1,"[-13.23225905083299, 8.95923376696415]",2022-03-01,0.230643197832847,water,0.1881691106690297,-0.49502821763508026,0.8713664389731397
water_2,"[-12.792084561613684, 8.941267461291122]",2022-03-01,0.260944648553259,water,0.1978675075561552,-0.4853298207479547,0.8810648358602652
water_3,"[-13.124461216741897, 8.923301155597281]",2022-03-01,0.2060441058193538,water,0.18883258494572258,-0.49436474335838737,0.8720299132498326
water_4,"[-13.043612841166503, 8.923301155604603]",2022-03-01,0.2599248444620419,water,0.20417868960624996,-0.47901863869786,0.8873760179103599
water_5,"[-13.23225905084012, 8.914318002754365]",2022-03-01,0.2625026866441643,water,0.19050003041850672,-0.49269729788560324,0.8736973587226167
water_6,"[-13.14242752241716, 8.905334849912931]",2022-03-01,0.2513118707998855,water,0.1909163698502933,-0.49228095845381664,0.8741136981544033
water_7,"[-13.088528605379402, 8.84245278003203]",2022-03-01,0.2386384980677915,water,0.1900091079578626,-0.4931882203462473,0.8732064362619726
water_8,"[-12.95378131275941, 8.84245278002366]",2022-03-01,0.2569717222801664,water,0.20773583002369334,-0.4754614982804166,0.8909331583278033
water_9,"[-12.935815007084505, 8.842452780012373]",2022-03-01,0.2770114337967471,water,0.20909750061707758,-0.4740998276870324,0.8922948289211875
water_10,"[-12.96276446559519, 8.833469627186803]",2022-03-01,0.2243256317207462,water,0.19968270369924393,-0.48351462460486605,0.8828800320033539
water_11,"[-12.055466028685446, 8.51905927773385]",2022-03-01,0.9845645975601287,water,0.3013672692560187,-0.38183005904809125,0.9845645975601287
water_12,"[-12.94479815997975, 8.258547845352313]",2022-03-01,0.2565987521174145,water,0.20900906525277138,-0.47418826305133854,0.8922063935568814
water_13,"[-12.055466028691816, 8.240581539665405]",2022-03-01,0.3940649271246364,water,0.2152102197749603,-0.46798710852914965,0.8984075480790703
water_14,"[-12.944798159973324, 8.159733164099736]",2022-03-01,0.2343720160671896,water,0.21610745309833396,-0.467089875205776,0.899304781402444
water_15,"[-11.23799912014679, 8.132783705572672]",2022-03-01,0.2455830546979089,water,0.2296607549378656,-0.4535365733662443,0.9128580832419756
water_16,"[-12.863949784393467, 8.087867941373343]",2022-03-01,0.2477307464122295,water,0.19090372961503527,-0.4922935986890747,0.8741010579191453
water_17,"[-12.819034020208475, 8.087867941376794]",2022-03-01,0.2377070815296601,water,0.19727799840987753,-0.4859193298942324,0.8804753267139875
water_18,"[-12.100381792913568, 8.069901635684584]",2022-03-01,0.2449719646532487,water,0.20891421396700263,-0.47428311433710735,0.8921115422711126
water_19,"[-10.779858325253915, 8.060918482844635]",2022-03-01,0.2776237201174105,water,0.22525256985498654,-0.4579447584491234,0.9084498981590965
water_20,"[-10.851723548002868, 7.989053260113526]",2022-03-01,0.2774003338738285,water,0.22913696162873876,-0.4540603666753712,0.9123342899328487
